fighter,kd,sig_str_landed,sig_str_attempted,total_str_landed,total_str_attempted,td_landed,td_attempted,sub_att,ctrl_time,reversals,head_str_landed,head_str_attempted,body_str_landed,body_str_attempted,leg_str_landed,leg_str_attempted,distance_str_landed,distance_str_attempted,clinch_str_landed,clinch_str_attempted,ground_str_landed,ground_str_attempted,sig_str_landed_opp,sig_str_attempted_opp,td_landed_opp,td_attempted_opp,ctrl_time_opp,total_fight_time,wins,losses,draws,total_fights,dq_wins,majority_decision_wins,split_decision_wins,unanimous_decision_wins,ko_tko_wins,submission_wins,tko_doctor_stoppage_wins,Could Not Continue ,dq_losses,majority_decision_losses,split_decision_losses,unanimous_decision_losses,ko_tko_losses,other,overturned,submission_losses,tko_doctor_stoppage_losses
Alberto Uda,0.0,19.0,36.0,49.0,67.0,2.0,4.0,0.0,296,1.0,15.0,27.0,4.0,6.0,0.0,3.0,4.0,17.0,11.0,13.0,4.0,6.0,37.0,68.0,2.0,6.0,183,636,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Alden Coria,0.0,42.0,95.0,77.0,131.0,2.0,2.0,0.0,198,1.0,34.0,85.0,1.0,3.0,7.0,7.0,29.0,79.0,0.0,0.0,13.0,16.0,12.0,56.0,1.0,4.0,84,647,1,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alejandro Perez,1.0,479.0,1344.0,647.0,1529.0,5.0,22.0,3.0,529,0.0,296.0,1081.0,60.0,81.0,123.0,182.0,383.0,1193.0,28.0,54.0,68.0,97.0,442.0,1155.0,9.0,31.0,648,8332,8,4,1,13,0.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
Aleksa Camur,0.0,267.0,479.0,370.0,587.0,2.0,9.0,0.0,387,0.0,150.0,329.0,86.0,106.0,31.0,44.0,205.0,402.0,61.0,76.0,1.0,1.0,273.0,593.0,5.0,10.0,1092,3600,1,3,0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Aleksandar Rakic,4.0,485.0,964.0,842.0,1349.0,5.0,23.0,1.0,2236,0.0,254.0,661.0,76.0,100.0,155.0,203.0,323.0,755.0,47.0,59.0,115.0,150.0,336.0,688.0,3.0,21.0,345,7051,6,5,0,11,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0
Aleksandra Albu,0.0,191.0,405.0,241.0,472.0,6.0,12.0,1.0,380,0.0,138.0,335.0,45.0,60.0,8.0,10.0,112.0,305.0,62.0,78.0,17.0,22.0,220.0,358.0,4.0,18.0,601,2375,2,2,0,4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Aleksandre Topuria,0.0,41.0,79.0,65.0,110.0,1.0,2.0,0.0,302,0.0,18.0,53.0,19.0,22.0,4.0,4.0,35.0,70.0,5.0,7.0,1.0,2.0,38.0,127.0,0.0,8.0,0,900,1,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleksei Kunchenko,0.0,220.0,496.0,409.0,697.0,1.0,3.0,0.0,129,0.0,125.0,362.0,34.0,58.0,61.0,76.0,172.0,432.0,38.0,50.0,10.0,14.0,170.0,470.0,5.0,26.0,786,3600,2,2,0,4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Aleksei Oleinik,2.0,380.0,777.0,744.0,1172.0,14.0,30.0,15.0,2112,4.0,239.0,615.0,91.0,102.0,50.0,60.0,266.0,620.0,86.0,118.0,28.0,39.0,440.0,790.0,15.0,24.0,2035,6940,9,8,0,17,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0
Alen Amedovski,0.0,20.0,66.0,20.0,66.0,0.0,0.0,0.0,13,1.0,13.0,54.0,2.0,5.0,5.0,7.0,17.0,61.0,0.0,0.0,3.0,5.0,78.0,145.0,5.0,5.0,603,1216,0,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
